Year,Month,Feeder,Earth_Fault,Over_Current,Planned,Emergency,Total,L_G_Fault,L_L_Fault,L_L_G_Fault,LLL_LLLG_Fault,Open_Circuits,Insulation_Failure,Fault_Location_km,Fault_Duration_s,Weather_Factor
2019,January,,23,2,1,3,32,18,1,1,2,2,4,31.8,0.3,0.2
2019,January,,18,2,1,5,29,14,1,1,4,2,4,8.1,0.3,0.2
2019,January,,25,5,1,0,32,20,2,2,0,0,5,45.1,0.1,0.3
2019,January,,8,0,2,1,12,6,0,0,1,0,1,9.6,7200.0,0.2
2019,January,,11,8,1,4,25,9,4,4,3,0,2,12.8,0.2,0.2
2019,February,,20,6,2,1,32,16,3,3,1,1,4,6.4,0.5,0.2
2019,February,,14,0,1,1,20,11,0,0,1,2,3,44.8,3600.0,0.2
2019,February,,9,7,1,0,19,7,3,3,0,1,1,38.0,0.1,0.2
2019,February,,16,9,1,1,31,13,4,4,1,2,3,24.1,0.3,0.2
2019,February,,20,1,2,0,25,16,0,0,0,1,4,14.5,3600.0,0.2
2019,March,,22,2,1,0,27,18,1,1,0,1,4,43.9,0.5,0.2
2019,March,,6,6,2,0,17,5,3,3,0,1,1,3.4,0.3,0.2
2019,March,,16,8,2,0,28,13,4,4,0,1,3,21.5,0.5,0.2
2019,March,,14,10,1,1,29,11,5,5,0,3,3,12.7,0.3,0.2
2019,March,,28,3,2,2,38,22,1,1,2,2,5,49.8,0.2,0.2
2019,April,,23,2,2,0,34,18,1,1,0,6,4,36.9,0.3,0.2
2019,April,,11,9,2,2,29,9,4,4,2,3,2,29.5,0.3,0.2
2019,April,,14,6,2,4,28,11,3,3,3,1,3,26.8,0.2,0.2
2019,April,,9,9,1,0,22,7,4,4,0,3,1,23.1,0.3,0.2
2019,April,,17,11,1,0,30,14,5,5,0,0,3,30.4,0.2,0.2
2019,May,,6,7,1,2,18,4,3,3,1,2,1,49.0,0.3,0.2
2019,May,,20,12,2,3,41,16,6,6,3,3,4,45.1,0.2,0.2
2019,May,,15,8,1,1,30,12,4,4,1,3,3,31.6,0.1,0.2
2019,May,,22,4,1,0,27,17,2,2,0,0,4,45.4,0.5,0.2
2019,May,,21,6,1,1,34,17,3,3,0,4,4,6.7,0.3,0.2
2019,June,,16,8,1,2,30,13,4,4,2,2,3,1.9,0.5,0.7
2019,June,,15,8,2,6,33,12,4,4,5,0,3,48.1,3600.0,0.8
2019,June,,21,3,1,3,33,17,1,1,2,4,4,46.4,7200.0,0.7
2019,June,,14,3,2,2,22,11,1,1,1,0,3,32.2,86400.0,0.8
2019,June,,15,3,2,1,22,12,1,1,1,0,3,46.1,0.3,0.8
2019,July,,15,8,1,1,30,12,4,4,1,3,3,17.4,0.3,0.9
2019,July,,21,7,1,0,32,17,3,3,0,1,4,12.8,0.2,0.8
2019,July,,24,2,2,4,34,19,1,1,4,0,5,0.2,0.1,0.8
2019,July,,21,3,2,0,30,16,1,1,0,2,4,18.1,3600.0,0.8
2019,July,,24,2,1,2,30,19,1,1,1,0,5,42.7,0.1,0.8
2019,August,,21,14,1,3,43,17,7,7,2,2,4,4.7,0.3,0.8
2019,August,,23,4,2,6,36,18,2,2,5,0,5,32.3,0.2,0.8
2019,August,,31,12,1,2,47,24,6,6,2,0,6,33.9,0.3,0.9
2019,August,,21,5,1,2,32,17,2,2,1,1,4,14.8,0.5,0.8
2019,August,,27,3,2,0,35,21,1,1,0,1,5,46.8,0.1,0.8
2019,September,,11,4,2,0,22,9,2,2,0,3,2,35.9,3600.0,0.9
2019,September,,13,4,1,1,22,10,2,2,1,1,2,45.1,0.2,0.7
2019,September,,29,5,1,0,37,23,2,2,0,0,6,29.3,0.2,0.8
2019,September,,17,8,1,1,28,13,4,4,1,0,3,22.9,0.2,0.8
2019,September,,13,9,1,2,29,10,4,4,2,2,2,10.2,0.1,0.8
2019,October,,17,8,1,0,29,14,4,4,0,1,3,40.7,0.5,0.2
2019,October,,15,3,1,0,20,12,1,1,0,0,3,15.9,86400.0,0.2
2019,October,,19,2,2,0,27,15,1,1,0,3,3,12.6,3600.0,0.2
2019,October,,16,0,1,2,22,13,0,0,2,2,3,19.1,0.5,0.2
2019,October,,18,1,2,2,25,14,0,0,2,0,3,44.9,0.1,0.2
2019,November,,12,4,2,0,19,9,2,2,0,0,2,42.9,0.5,0.2
2019,November,,18,6,2,4,35,15,3,3,3,3,4,46.5,0.1,0.2
2019,November,,21,3,1,0,28,17,1,1,0,2,4,20.4,0.1,0.2
2019,November,,13,6,1,3,24,10,3,3,3,0,3,33.6,0.2,0.2
2019,November,,20,7,2,0,29,16,3,3,0,0,4,5.0,0.5,0.2
2019,December,,18,4,1,2,30,14,2,2,2,3,4,11.3,0.5,0.2
2019,December,,11,5,1,1,19,9,2,2,0,0,2,31.1,3600.0,0.2
2019,December,,27,9,1,0,39,22,4,4,0,1,5,26.3,0.5,0.2
2019,December,,15,0,1,0,17,12,0,0,0,0,3,22.1,0.1,0.2
2019,December,,25,5,2,1,34,20,2,2,1,0,5,12.7,0.1,0.2
2020,January,,19,7,1,0,28,15,3,3,0,0,3,3.3,3600.0,0.2
2020,January,,17,9,1,2,30,13,4,4,2,0,3,30.9,3600.0,0.2
2020,January,,25,1,2,0,31,20,0,0,0,1,5,20.0,0.3,0.2
2020,January,,18,12,1,0,34,14,6,6,0,1,3,25.3,0.1,0.2
2020,January,,15,5,1,1,24,12,2,2,1,0,3,5.6,3600.0,0.2
2020,February,,17,2,2,0,23,14,1,1,0,1,3,7.6,0.3,0.2
2020,February,,24,7,2,2,40,19,3,3,2,2,5,44.8,0.1,0.2
2020,February,,22,2,2,0,28,17,1,1,0,1,4,2.4,3600.0,0.2
2020,February,,22,7,1,1,35,18,3,3,1,2,4,27.1,0.2,0.2
2020,February,,13,8,1,5,29,10,4,4,5,1,3,2.3,7200.0,0.2
2020,March,,16,7,2,2,29,13,3,3,1,1,3,1.1,86400.0,0.2
2020,March,,13,1,1,1,17,10,0,0,1,1,2,41.5,0.2,0.2
2020,March,,15,10,1,1,31,12,5,5,1,3,3,36.5,0.3,0.2
2020,March,,12,3,1,1,20,9,1,1,1,1,2,28.2,0.2,0.2
2020,March,,24,5,1,0,31,19,2,2,0,0,4,4.6,0.2,0.2
2020,April,,16,7,1,2,27,13,3,3,2,0,3,27.8,0.3,0.2
2020,April,,18,1,1,1,24,14,0,0,1,2,3,44.3,3600.0,0.2
2020,April,,19,1,1,0,23,15,0,0,0,1,3,48.8,0.5,0.2
2020,April,,23,6,1,1,33,19,3,3,1,0,4,19.9,0.1,0.2
2020,April,,24,4,2,0,31,19,2,2,0,1,4,15.1,3600.0,0.2
2020,May,,24,5,1,0,32,19,2,2,0,0,4,47.2,3600.0,0.2
2020,May,,17,8,2,0,30,13,4,4,0,2,3,41.5,0.5,0.2
2020,May,,17,8,2,2,32,14,4,4,2,1,3,48.9,0.3,0.2
2020,May,,3,0,2,1,9,2,0,0,0,2,0,9.8,3600.0,0.2
2020,May,,14,7,2,2,29,11,3,3,2,3,3,36.6,3600.0,0.2
2020,June,,24,6,2,0,35,19,3,3,0,2,4,25.4,3600.0,0.8
2020,June,,24,12,2,1,40,19,6,6,1,1,4,11.2,0.2,0.8
2020,June,,19,9,1,0,32,15,4,4,0,1,3,46.7,7200.0,0.8
2020,June,,6,1,1,2,13,5,0,0,1,2,1,9.3,86400.0,0.7
2020,June,,9,12,2,2,26,7,6,6,1,0,2,7.4,0.3,0.9
2020,July,,20,6,2,0,29,16,3,3,0,0,4,20.6,0.1,0.9
2020,July,,22,0,1,0,25,18,0,0,0,1,4,8.1,86400.0,0.8
2020,July,,19,6,1,0,28,15,3,3,0,1,3,15.7,0.3,0.8
2020,July,,6,1,2,2,17,5,0,0,2,4,1,42.3,0.2,0.8
2020,July,,7,9,1,0,19,6,4,4,0,0,1,30.7,3600.0,1.0
2020,August,,22,0,1,0,30,18,0,0,0,5,4,3.4,3600.0,0.7
2020,August,,14,9,1,3,32,11,4,4,3,3,3,36.9,0.2,0.9
2020,August,,10,7,1,4,23,8,3,3,3,0,2,30.1,0.3,0.9
2020,August,,8,2,2,2,17,6,1,1,2,2,1,42.6,0.1,0.8
2020,August,,8,6,2,0,18,7,3,3,0,1,1,38.4,0.1,0.7
2020,September,,18,2,2,2,27,14,1,1,2,1,4,49.7,3600.0,0.9
2020,September,,26,4,1,3,37,21,2,2,2,1,5,0.8,86400.0,0.8
2020,September,,18,8,2,3,33,15,4,4,3,0,4,18.6,0.2,0.8
2020,September,,11,1,2,2,21,9,0,0,1,3,2,16.6,0.5,0.8
2020,September,,14,7,2,2,28,11,3,3,2,2,3,12.1,0.2,0.7
2020,October,,14,6,1,0,23,11,3,3,0,2,2,21.0,0.3,0.2
2020,October,,31,8,1,0,41,25,4,4,0,0,6,3.1,3600.0,0.2
2020,October,,12,6,2,1,22,9,3,3,1,0,2,35.5,86400.0,0.2
2020,October,,2,2,1,0,7,1,1,1,0,0,0,28.1,0.1,0.2
2020,October,,23,7,1,0,33,19,3,3,0,0,4,49.9,0.1,0.2
2020,November,,18,1,1,3,27,14,0,0,2,3,3,47.1,0.5,0.2
2020,November,,20,4,1,3,29,16,2,2,3,0,4,21.6,0.5,0.2
2020,November,,11,6,2,1,21,9,3,3,1,0,2,35.3,0.5,0.2
2020,November,,16,6,2,3,31,12,3,3,3,3,3,13.7,0.5,0.2
2020,November,,3,1,2,2,10,2,0,0,2,0,0,42.5,0.2,0.2
2020,December,,14,3,1,0,21,11,1,1,0,0,3,35.2,0.2,0.2
2020,December,,14,4,2,0,22,11,2,2,0,1,2,49.6,0.5,0.2
2020,December,,22,9,2,2,37,18,4,4,2,0,4,29.0,3600.0,0.2
2020,December,,12,3,2,2,20,9,1,1,2,0,2,8.2,0.2,0.2
2020,December,,29,0,2,1,34,23,0,0,1,0,6,27.3,0.1,0.2
2021,January,,3,10,1,2,18,2,5,5,1,1,0,28.6,7200.0,0.2
2021,January,,18,6,1,0,31,15,3,3,0,4,3,35.1,0.3,0.2
2021,January,,13,5,2,2,24,10,2,2,2,0,2,0.6,0.1,0.2
2021,January,,20,7,2,0,33,16,3,3,0,2,4,17.1,0.3,0.2
2021,January,,18,2,2,0,25,14,1,1,0,3,3,41.9,0.5,0.2
2021,February,,22,7,2,2,35,17,3,3,2,1,4,47.9,0.1,0.2
2021,February,,16,6,2,0,27,13,3,3,0,2,3,41.6,0.3,0.2
2021,February,,23,5,2,0,31,19,2,2,0,0,4,39.8,0.1,0.2
2021,February,,7,8,1,0,16,5,4,4,0,0,1,0.3,0.3,0.2
2021,February,,16,6,2,1,28,13,3,3,1,1,3,45.6,0.5,0.2
2021,March,,26,3,1,1,33,21,1,1,1,0,5,4.2,0.5,0.2
2021,March,,21,1,2,0,27,17,0,0,0,3,4,24.8,3600.0,0.2
2021,March,,14,9,1,3,28,11,4,4,3,0,3,31.3,0.1,0.2
2021,March,,17,2,2,1,23,13,1,1,1,0,3,22.8,0.3,0.2
2021,March,,18,7,2,0,29,14,3,3,0,1,3,45.6,0.5,0.1
2021,April,,13,5,2,1,24,10,2,2,1,2,2,31.6,0.3,0.2
2021,April,,13,5,2,0,24,11,2,2,0,2,2,15.3,86400.0,0.2
2021,April,,11,5,1,2,20,9,2,2,1,0,2,0.4,0.5,0.2
2021,April,,19,1,1,1,23,15,0,0,0,0,4,4.0,0.5,0.2
2021,April,,20,1,1,3,26,16,0,0,2,1,4,33.3,3600.0,0.2
2021,May,,17,6,1,1,27,14,3,3,1,1,3,1.6,0.1,0.2
2021,May,,15,5,2,1,24,12,2,2,0,0,3,39.4,0.2,0.2
2021,May,,23,5,2,0,32,18,2,2,0,0,4,29.2,0.5,0.2
2021,May,,9,9,2,1,23,7,4,4,1,0,2,22.4,86400.0,0.2
2021,May,,16,0,1,1,22,13,0,0,1,3,3,34.2,0.1,0.2
2021,June,,19,7,1,3,32,15,3,3,3,1,4,5.7,0.1,0.8
2021,June,,19,4,1,2,30,15,2,2,1,3,4,37.8,0.1,0.8
2021,June,,20,10,2,1,34,16,5,5,1,0,4,41.8,0.3,0.8
2021,June,,12,2,2,0,16,9,1,1,0,0,2,5.0,0.1,0.7
2021,June,,28,2,2,0,35,22,1,1,0,1,5,24.8,0.1,0.8
2021,July,,19,6,2,1,31,15,3,3,1,1,4,25.1,0.2,0.7
2021,July,,10,5,1,0,17,8,2,2,0,0,2,31.0,0.5,0.6
2021,July,,24,8,1,4,40,19,4,4,3,2,5,19.2,0.3,0.7
2021,July,,12,5,2,1,22,9,2,2,1,0,2,26.2,0.5,0.9
2021,July,,16,3,1,0,21,13,1,1,0,0,3,34.1,3600.0,0.7
2021,August,,14,8,2,0,26,11,4,4,0,1,2,28.5,7200.0,0.8
2021,August,,17,6,1,0,25,13,3,3,0,0,3,30.3,0.5,0.9
2021,August,,10,9,2,1,24,8,4,4,1,1,2,44.1,0.2,0.9
2021,August,,17,4,2,0,28,14,2,2,0,3,3,44.4,0.1,0.9
2021,August,,5,3,2,1,13,4,1,1,1,0,1,1.1,0.5,0.8
2021,September,,22,7,2,6,40,18,3,3,5,2,5,32.5,0.5,0.9
2021,September,,31,7,2,2,44,25,3,3,2,0,6,11.1,0.5,0.8
2021,September,,13,6,2,1,24,11,3,3,1,0,2,26.9,0.5,0.8
2021,September,,32,3,1,1,38,25,1,1,1,0,6,44.4,0.3,0.7
2021,September,,20,0,2,0,23,16,0,0,0,0,4,14.3,0.3,0.8
2021,October,,22,2,2,3,32,18,1,1,2,2,4,44.1,7200.0,0.2
2021,October,,18,7,2,3,34,14,3,3,2,3,3,26.0,0.3,0.2
2021,October,,12,7,2,0,23,10,3,3,0,1,2,27.8,0.5,0.2
2021,October,,14,8,2,2,27,11,4,4,2,0,3,24.9,0.2,0.2
2021,October,,28,5,2,2,41,22,2,2,2,2,5,6.5,0.2,0.2
2021,November,,23,9,1,2,38,18,4,4,2,1,4,14.2,0.3,0.2
2021,November,,26,1,2,3,34,21,0,0,3,1,5,20.8,0.1,0.2
2021,November,,21,3,1,0,29,17,1,1,0,1,4,44.4,0.3,0.2
2021,November,,15,12,2,0,32,12,6,6,0,1,3,8.2,0.2,0.2
2021,November,,32,5,2,0,42,26,2,2,0,2,6,13.7,0.3,0.2
2021,December,,21,7,2,4,36,17,3,3,3,1,4,2.6,0.1,0.2
2021,December,,21,8,2,3,36,17,4,4,3,0,4,5.3,0.5,0.2
2021,December,,13,10,2,2,29,10,5,5,2,1,2,19.6,0.1,0.2
2021,December,,7,5,2,2,17,6,2,2,1,0,1,46.8,0.1,0.2
2021,December,,26,5,1,2,35,21,2,2,2,0,5,2.6,0.2,0.2
2022,January,,15,4,1,4,27,12,2,2,4,2,3,2.7,0.3,0.2
2022,January,,15,2,2,0,21,12,1,1,0,0,3,22.3,0.1,0.2
2022,January,,31,9,2,1,46,25,4,4,1,1,6,8.4,0.2,0.2
2022,January,,14,3,1,3,22,11,1,1,2,0,3,33.4,7200.0,0.2
2022,January,,19,4,2,2,28,15,2,2,2,0,4,1.8,7200.0,0.2
2022,February,,12,6,1,0,22,10,3,3,0,1,2,32.3,0.1,0.2
2022,February,,26,4,1,1,34,21,2,2,1,1,5,19.4,0.2,0.2
2022,February,,36,3,1,0,43,28,1,1,0,2,7,6.4,0.2,0.2
2022,February,,9,2,2,3,16,7,1,1,2,0,2,39.4,0.2,0.2
2022,February,,24,1,2,0,30,19,0,0,0,1,4,43.3,0.5,0.2
2022,March,,17,10,2,1,32,13,5,5,0,1,3,43.2,0.3,0.2
2022,March,,16,7,2,1,28,13,3,3,1,1,3,11.4,7200.0,0.2
2022,March,,29,7,2,1,41,23,3,3,1,0,6,45.8,0.2,0.1
2022,March,,15,6,1,0,27,12,3,3,0,3,3,0.5,0.3,0.2
2022,March,,20,6,2,2,32,16,3,3,2,0,4,16.1,0.3,0.2
2022,April,,28,1,2,1,34,22,0,0,0,2,5,30.3,0.3,0.2
2022,April,,5,8,1,2,19,4,4,4,2,2,1,12.8,0.5,0.2
2022,April,,11,0,2,1,17,9,0,0,1,2,2,9.5,0.3,0.2
2022,April,,11,3,1,1,17,8,1,1,0,1,2,6.4,0.1,0.2
2022,April,,27,0,2,0,32,21,0,0,0,2,5,18.7,0.3,0.2
2022,May,,20,5,1,2,32,16,2,2,1,3,4,30.9,0.2,0.2
2022,May,,8,2,1,4,16,6,1,1,3,0,2,21.2,0.3,0.2
2022,May,,27,2,1,0,32,22,1,1,0,2,5,2.8,3600.0,0.2
2022,May,,12,3,2,3,22,10,1,1,3,0,2,26.8,0.3,0.2
2022,May,,10,8,2,3,24,8,4,4,3,0,2,29.1,0.5,0.2
2022,June,,11,9,1,0,22,8,4,4,0,1,2,41.6,0.1,1.0
2022,June,,12,7,1,2,25,10,3,3,2,2,2,48.0,7200.0,0.9
2022,June,,19,7,1,0,29,15,3,3,0,0,3,8.3,0.1,0.8
2022,June,,20,7,1,0,30,16,3,3,0,1,4,17.1,3600.0,0.9
2022,June,,17,3,2,1,25,13,1,1,1,0,3,20.9,0.5,0.8
2022,July,,19,4,1,1,32,15,2,2,1,6,4,14.8,3600.0,0.8
2022,July,,34,4,1,1,44,27,2,2,1,2,7,2.8,0.1,0.7
2022,July,,12,5,1,4,22,9,2,2,3,0,2,42.5,0.5,0.8
2022,July,,15,1,1,3,24,12,0,0,3,3,3,24.1,0.1,0.8
2022,July,,18,1,1,1,24,14,0,0,1,1,3,5.0,0.1,0.9
2022,August,,24,1,1,0,27,19,0,0,0,0,4,49.3,0.3,0.9
2022,August,,28,4,2,2,39,22,2,2,2,1,6,29.0,0.1,0.7
2022,August,,19,3,1,0,26,15,1,1,0,1,3,4.4,0.2,0.7
2022,August,,11,4,1,3,24,8,2,2,3,3,2,14.4,0.5,0.7
2022,August,,13,5,1,0,20,11,2,2,0,0,2,12.8,0.1,0.8
2022,September,,13,5,1,1,21,10,2,2,1,0,2,40.7,0.1,1.0
2022,September,,25,3,2,2,34,20,1,1,2,0,5,2.8,0.1,0.8
